respondent_id,books_read_1year,print_books,audiobooks,ebooks,smartphone,ebook_reader,tablet,laptop,gender,age,education,is_frequent_reader
101320,15.0,yes,no,yes,yes,yes,yes,yes,,53.0,Unknown,1
101321,3.0,yes,no,no,yes,no,no,yes,,54.0,Four-year college degree or bachelor's degree,0
101330,8.0,yes,no,no,yes,no,yes,yes,,55.0,Unknown,1
101335,3.0,yes,no,no,yes,no,yes,yes,,41.0,Two-year associate degree,0
101351,0.0, , , ,yes,yes,yes,yes,,44.0,Two-year associate degree,0
101356,8.0,yes,no,no,yes,no,no,yes,,,Unknown,1
101359,0.0, , , ,yes,no,yes,no,,68.0,Two-year associate degree,0
101361,3.0,yes,yes,yes,yes,yes,yes,yes,,60.0,Four-year college degree or bachelor's degree,0
101375,0.0, , , ,no,no,no,no,,94.0,"Some college, no degree",0
101377,2.0,yes,yes,no,yes,no,yes,yes,,54.0,Two-year associate degree,0
101378,0.0, , , ,yes,no,yes,yes,,41.0,High school graduate or GED,0
101397,4.0,yes,yes,no,yes,no,yes,yes,,64.0,Postgraduate or professional degree,0
101401,2.0,yes,no,no,no,no,no,yes,,,Postgraduate or professional degree,0
101402,2.0,yes,no,no,yes,no,no,yes,,90.0,Postgraduate or professional degree,0
101405,2.0,yes,no,no,yes,no,no,yes,,61.0,"Some college, no degree",0
101406,0.0, , , ,yes,no,no,no,,56.0,"Some college, no degree",0
101419,50.0,yes,no,no,yes,no,no,yes,,71.0,Postgraduate or professional degree,1
101425,52.0,yes,no,no,yes,no,no,yes,,72.0,Postgraduate or professional degree,1
101426,4.0,yes,no,no,yes,no,yes,yes,,69.0,"Some college, no degree",0
101429,0.0, , , ,no,no,,yes,,46.0,High school graduate or GED,0
101430,5.0,yes,no,no,no,no,no,yes,,59.0,"Some college, no degree",1
101433,24.0,yes,no,no,yes,no,no,yes,,69.0,Two-year associate degree,1
101435,2.0,yes,no,no,yes,no,no,no,,78.0,High school graduate or GED,0
101437,5.0,yes,no,no,yes,no,yes,yes,,68.0,Unknown,1
101439,0.0, , , ,yes,no,no,yes,,80.0,Four-year college degree or bachelor's degree,0
101445,0.0, , , ,yes,no,no,yes,,46.0,Two-year associate degree,0
101455,40.0,yes,yes,yes,yes,no,no,yes,,45.0,Unknown,1
101462,0.0, , , ,yes,yes,yes,yes,,53.0,Postgraduate or professional degree,0
101471,4.0,yes,no,no,yes,no,yes,yes,,72.0,Two-year associate degree,0
101474,12.0,yes,no,no,yes,no,yes,yes,,60.0,Four-year college degree or bachelor's degree,1
101475,0.0, , , ,yes,no,yes,yes,,48.0,Postgraduate or professional degree,0
101494,25.0,yes,no,yes,yes,yes,yes,yes,,21.0,Two-year associate degree,1
101495,15.0,yes,no,no,yes,yes,yes,yes,,57.0,Unknown,1
101496,97.0,yes,yes,no,yes,no,no,yes,,44.0,Unknown,1
101509,97.0,yes,no,no,yes,no,no,yes,,75.0,Four-year college degree or bachelor's degree,1
101510,6.0,yes,no,no,yes,no,no,yes,,70.0,Two-year associate degree,1
101517,15.0,yes,yes,yes,yes,no,yes,yes,,54.0,Postgraduate or professional degree,1
101518,40.0,yes,yes,yes,yes,yes,no,yes,,66.0,Postgraduate or professional degree,1
101522,2.0,yes,no,no,yes,yes,yes,yes,,16.0,High school graduate or GED,0
101527,2.0,yes,no,no,yes,no,no,no,,,High school graduate or GED,0
101529,5.0,yes,no,no,yes,no,yes,yes,,74.0,Unknown,1
101537,4.0,yes,no,yes,no,yes,no,yes,,63.0,"Some college, no degree",0
101545,10.0,yes,no,yes,yes,yes,no,yes,,78.0,Unknown,1
101549,0.0, , , ,yes,no,no,yes,,79.0,"Some college, no degree",0
101551,52.0,yes,no,no,no,no,no,no,,78.0,"Some college, no degree",1
101553,0.0, , , ,no,no,yes,no,,24.0,Less than high school,0
101562,0.0, , , ,no,no,no,no,,76.0,High school graduate or GED,0
101576,0.0, , , ,yes,no,no,yes,,77.0,Two-year associate degree,0
101583,0.0, , , ,yes,no,yes,yes,,38.0,"Some college, no degree",0
101585,50.0,yes,yes,no,yes,no,yes,yes,,51.0,Unknown,1
101586,0.0, , , ,yes,no,yes,yes,,45.0,Unknown,0
101593,0.0, , , ,yes,no,yes,yes,,72.0,Unknown,0
101602,0.0, , , ,yes,no,no,no,,70.0,"Some college, no degree",0
101604,3.0,yes,no,no,yes,no,no,yes,,61.0,"Some college, no degree",0
101608,0.0, , , ,no,no,no,no,,71.0,Less than high school,0
101615,3.0,yes,no,no,yes,no,no,no,,,Four-year college degree or bachelor's degree,0
101626,2.0,yes,no,no,yes,no,no,yes,,76.0,Two-year associate degree,0
101630,2.0,yes,no,no,yes,no,no,yes,,67.0,Two-year associate degree,0
